MCS,cells,mean_component_assembled_pore,mean_component_assembly_sites,mean_component_channel_complex,mean_component_connecting_complex,mean_component_nup188_inner_ring,mean_component_nup205_inner_ring,mean_component_y_complex,mean_localization_cytoplasm,mean_localization_nuclear_envelope,stage_fraction_channel_complex,stage_fraction_connecting_complex,stage_fraction_inner_ring,stage_fraction_mature,stage_fraction_none,stage_fraction_seed,stage_fraction_y_complex_scaffold,total_component_assembled_pore,total_component_assembly_sites,total_component_channel_complex,total_component_connecting_complex,total_component_nup188_inner_ring,total_component_nup205_inner_ring,total_component_y_complex
525.0,484.0,0.0,0.5392561983471075,0.0,0.0,0.0,0.0,1.93801652892562,0.7092975206611556,0.2907024793388428,0.0,0.0,0.0,0.0,0.4607438016528926,0.5392561983471075,0.0,0.0,261.0,0.0,0.0,0.0,0.0,938.0
550.0,484.0,0.0,0.5702479338842975,0.0,0.0,0.0,0.0,2.450413223140496,0.6779958677685947,0.3220041322314051,0.0,0.0,0.0,0.0,0.4297520661157025,0.5702479338842975,0.0,0.0,276.0,0.0,0.0,0.0,0.0,1186.0
575.0,484.0,0.0,0.621900826446281,0.0,0.0,0.0,0.0,2.9628099173553717,0.6779958677685947,0.3220041322314051,0.0,0.0,0.0,0.0,0.378099173553719,0.621900826446281,0.0,0.0,301.0,0.0,0.0,0.0,0.0,1434.0
600.0,484.0,0.0,0.6528925619834711,0.0,0.0,0.0,0.0,3.5371900826446283,0.6443181818181818,0.3556818181818183,0.0,0.0,0.0,0.0,0.34710743801652894,0.6487603305785123,0.004132231404958678,0.0,316.0,0.0,0.0,0.0,0.0,1712.0
625.0,484.0,0.0,0.6983471074380165,0.0,0.004132231404958678,0.0,0.0,4.144628099173554,0.6443181818181818,0.3556818181818183,0.0,0.0,0.0,0.0,0.30165289256198347,0.6921487603305785,0.006198347107438017,0.0,338.0,0.0,2.0,0.0,0.0,2006.0
650.0,484.0,0.0,0.731404958677686,0.0,0.012396694214876033,0.0,0.0,4.731404958677686,0.6114669421487601,0.3885330578512398,0.0,0.0,0.0,0.0,0.26859504132231404,0.7231404958677686,0.008264462809917356,0.0,354.0,0.0,6.0,0.0,0.0,2290.0
675.0,484.0,0.0,0.7582644628099173,0.0,0.012396694214876033,0.0,0.0,5.3347107438016526,0.6114669421487601,0.3885330578512398,0.0,0.0,0.0,0.0,0.24173553719008264,0.7396694214876033,0.01859504132231405,0.0,367.0,0.0,6.0,0.0,0.0,2582.0
700.0,484.0,0.0,0.7913223140495868,0.0,0.024793388429752067,0.0,0.0,5.954545454545454,0.5782024793388427,0.4217975206611573,0.0,0.0,0.0,0.0,0.20867768595041322,0.768595041322314,0.022727272727272728,0.0,383.0,0.0,12.0,0.0,0.0,2882.0
725.0,484.0,0.0,0.8099173553719008,0.0,0.0371900826446281,0.0,0.0,6.640495867768595,0.5782024793388427,0.4217975206611573,0.0,0.0,0.0,0.0,0.19008264462809918,0.7747933884297521,0.03512396694214876,0.0,392.0,0.0,18.0,0.0,0.0,3214.0
750.0,484.0,0.0,0.8326446280991735,0.0,0.06198347107438017,0.0,0.0,7.2809917355371905,0.5460743801652898,0.4539256198347106,0.0,0.0,0.0,0.0,0.16735537190082644,0.7768595041322314,0.05578512396694215,0.0,403.0,0.0,30.0,0.0,0.0,3524.0
